AR,95189,111353,115654,133757,177172
MA,163245,219923,202797,225712,325444
WA,183977,268654,235341,351998,538999
NY,66459,81376,85552,98466,145211
FL,160802,222406,219201,270491,378955
NY,110108,168123,170334,191558,257573
OK,94585,114465,109075,98605,124974
TN,110034,136423,131136,167181,253543
OH,93123,96046,80933,103805,155438
ME,111829,149863,141620,166972,268645
PA,105937,128762,127340,147648,167941
NC,113161,153924,138157,149703,214453
KY,94741,102459,99281,124054,172833
MI,144087,153679,141313,197507,282580
NC,94770,104762,101134,120102,157984
NY,67503,119486,141240,146590,185873
WV,62581,75942,74752,85061,114037
PA,119573,143620,146206,164081,203017
GA,144143,171231,144238,179324,264219
MD,211234,331253,280809,302915,383255
TN,104423,128840,126873,164065,253619
OR,120264,177628,155140,211044,319039
ME,113699,150490,139392,174296,276061
NY,60638,80630,83963,93457,123974
WV,70823,86941,84803,87376,118294
AZ,114292,181612,156859,213388,358984
KY,107925,130633,127916,155757,214410
TN,101627,123157,123107,165827,264664
NY,110639,164203,190440,228046,294864
IL,76019,87170,80521,81675,97959
GA,82063,94498,85414,107183,159763
MI,99995,97903,87543,104800,145082
PA,125765,193305,186012,212576,277615
VA,82826,101931,91385,94842,132268
OH,95170,107033,93221,110995,156189
OH,77429,83335,82632,101428,135549
AR,101148,128943,126445,145399,219777
MI,105793,110028,101897,144909,202292
NC,92739,105941,93744,116697,184104
KY,76798,84444,89592,105298,136073
GA,96069,103184,96102,127867,198942
TN,136477,171886,155590,218823,395605
OH,83102,96737,94383,107250,156056
MD,83401,106622,101275,109913,144907
NJ,260600,407554,363850,411230,632858
OR,201329,279570,267244,356817,499441
NY,88246,104589,99432,111238,147623
OH,124411,105377,104559,133570,181024
WV,79212,101056,100636,120229,148002
WV,87964,102050,102290,115192,148739
AR,54553,67088,65926,76246,97612
OR,147035,218221,191751,279351,393724
TX,92830,107160,112258,132319,186255
OH,82313,95680,92513,116383,166303
PA,75064,93094,95654,116626,156117
NY,70892,89132,98611,106247,138249
AR,92845,114043,113174,134125,169667
MI,124010,126686,121745,145482,200225
PA,126840,165959,164905,183637,225923
OK,104827,123055,127096,154233,200073
WI,118272,125888,119388,138574,197192
